year,date,weekday,time,mood,activities,note
2017,7 września,czwartek,12:10,dobrze,"",""
2017,6 września,środa,12:09,źle,"",""
2017,5 września,wtorek,12:09,wspaniale,"",""
2017,4 września,poniedziałek,12:07,tak sobie,"",""
2017,3 września,niedziela,12:06,wspaniale,"",""
2017,2 września,sobota,23:42,wspaniale,"",""
2017,1 września,piątek,07:44,okropnie,"",""
2017,31 sierpnia,czwartek,12:00,dobrze,"",""
2017,30 sierpnia,środa,23:58,tak sobie,"",""
2017,29 sierpnia,wtorek,23:33,dobrze,""
2017,28 sierpnia,poniedziałek,23:21,dobrze,"",""
2017,27 sierpnia,niedziela,23:24,dobrze,"",""
2017,26 sierpnia,sobota,22:53,wspaniale,"",""
2017,25 sierpnia,piątek,23:59,wspaniale,"",""
2017,24 sierpnia,czwartek,23:56,wspaniale,"",""
2017,23 sierpnia,środa,22:24,tak sobie,"",""
2017,22 sierpnia,wtorek,20:00,tak sobie,"",""
2017,21 sierpnia,poniedziałek,20:00,wspaniale,"",""
2017,20 sierpnia,niedziela,23:30,wspaniale,"",""
2017,19 sierpnia,sobota,20:00,dobrze,"",""
2017,18 sierpnia,piątek,20:00,wspaniale,"",""
